arm,average_precision,seed_sd,auc,lift
age only,0.101871,0.002672,0.836175,3.5595
evidence only,0.179906,0.020509,0.753235,6.2861
age + evidence,0.241757,0.014392,0.879940,8.4473

group_added_to_age,average_precision,delta
clp,0.100504,-0.001367
efsa,0.182654,+0.080783
sales,0.107866,+0.005995
graph,0.136230,+0.034359
literature,0.102792,+0.000921
clh,0.097210,-0.004661

evidence_block_added_to_age,average_precision,delta
in_funnel,0.186439,+0.084568
out_of_funnel,0.168589,+0.066718

train_through,train_events,test_events,age_ap,both_ap,age_hits_at_50,both_hits_at_50
2014,5,97,0.083003,0.053372,7,2
2015,6,96,0.084359,0.049848,6,1
2016,9,93,0.081982,0.106804,5,10
2017,16,86,0.080017,0.092831,1,8
2018,27,75,0.084035,0.091631,5,7
2019,45,57,0.067199,0.176241,4,11
2020,62,40,0.056941,0.100545,1,3
2021,84,18,0.049903,0.090029,2,6
2022,86,16,0.059481,0.141138,2,7
